;행정구역;2023년10월_총인구수;2023년10월_세대수;2023년10월_세대당 인구;2023년10월_남자 인구수;2023년10월_여자 인구수;2023년10월_남여 비율;filtered_address;nodes count;average population
0;제주특별자치도 제주특별자치도 서귀포시 (5013000000);183886;88,809;2.07;92,517;91,369;1.01;;0;
1;제주특별자치도 서귀포시 대정읍 (5013025000);22102;10,810;2.04;10,688;11,414;0.94;대정읍;224;98.66964285714286
2;제주특별자치도 서귀포시 남원읍 (5013025300);18381;8,851;2.08;9,506;8,875;1.07;남원읍;332;55.3644578313253
3;제주특별자치도 서귀포시 성산읍 (5013025900);15210;8,158;1.86;7,972;7,238;1.1;성산읍;192;79.21875
4;제주특별자치도 서귀포시 안덕면 (5013031000);12520;6,472;1.93;6,468;6,052;1.07;안덕면;189;66.24338624338624
5;제주특별자치도 서귀포시 표선면 (5013032000);12594;6,322;1.99;6,433;6,161;1.04;표선면;175;71.96571428571428
6;제주특별자치도 서귀포시 송산동 (5013051000);3855;1,884;2.05;2,006;1,849;1.08;송산동;198;19.46969696969697
7;제주특별자치도 서귀포시 정방동 (5013052000);2144;1,334;1.61;1,079;1,065;1.01;정방동;13;164.92307692307693
8;제주특별자치도 서귀포시 중앙동 (5013053000);3174;1,836;1.73;1,527;1,647;0.93;중앙동;14;226.71428571428572
9;제주특별자치도 서귀포시 천지동 (5013054000);3474;2,023;1.72;1,741;1,733;1.0;천지동;14;248.14285714285714
10;제주특별자치도 서귀포시 효돈동 (5013055000);5280;2,391;2.21;2,637;2,643;1.0;효돈동;46;114.78260869565217
11;제주특별자치도 서귀포시 영천동 (5013056000);5282;2,579;2.05;2,667;2,615;1.02;영천동;69;76.55072463768116
12;제주특별자치도 서귀포시 동홍동 (5013057000);23374;10,008;2.34;11,378;11,996;0.95;동홍동;148;157.93243243243242
13;제주특별자치도 서귀포시 서홍동 (5013058000);11178;4,623;2.42;5,486;5,692;0.96;서홍동;125;89.424
14;제주특별자치도 서귀포시 대륜동 (5013059000);15411;6,976;2.21;7,736;7,675;1.01;대륜동;45;342.46666666666664
15;제주특별자치도 서귀포시 대천동 (5013060000);13677;6,485;2.11;6,951;6,726;1.03;대천동;129;106.02325581395348
16;제주특별자치도 서귀포시 중문동 (5013061000);12396;6,040;2.05;6,280;6,116;1.03;중문동;95;130.4842105263158
17;제주특별자치도 서귀포시 예래동 (5013062000);3834;2,017;1.9;1,962;1,872;1.05;예래동;98;39.12244897959184
